Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count
9,17,2007,3.2,2,2,33948,5,4
1,1,2010,4.8,1,2,224853,2,1
5,25,2006,1.9,2,2,13435,3,5
4,6,2019,1.7,0,2,199846,2,3
7,10,2005,3.6,3,0,261,3,2
7,16,2021,3.1,3,2,237836,3,4
9,27,2023,3.0,1,1,264338,5,2
0,2,2016,2.2,2,0,284193,2,4
7,16,2015,1.0,1,1,95342,2,3
1,1,2000,3.4,3,2,278310,5,3
3,15,2000,3.8,2,1,257726,4,2
4,8,2013,3.5,2,2,93273,2,4
6,26,2008,3.9,1,2,137257,4,4
0,3,2001,4.2,1,0,11815,3,4
9,27,2008,1.7,0,0,274614,4,3
3,14,2007,2.5,0,0,283885,4,3
5,25,2015,2.3,3,1,158003,5,4
1,29,2018,4.4,2,1,210532,5,2
2,19,2010,4.3,1,0,51893,4,1
3,13,2023,4.7,2,2,102316,4,1
5,25,2005,1.5,3,1,84535,5,5
3,15,2014,1.7,2,2,59813,5,3
1,0,2011,3.1,0,1,41582,5,1
9,27,2022,3.0,0,0,113682,4,1
0,22,2001,1.7,0,1,24929,3,1
9,27,2015,3.4,2,2,265204,2,5
5,11,2000,1.8,3,1,161487,3,5
9,17,2007,4.2,0,0,86876,3,3
8,7,2019,2.5,1,0,21694,2,4
5,25,2012,3.1,1,0,211305,3,3
7,5,2008,3.9,1,2,282354,3,5
1,29,2007,1.5,0,0,192279,5,2
9,21,2012,2.9,0,2,267772,2,3
4,8,2016,1.1,1,1,259759,4,3
2,18,2006,3.9,0,0,102807,5,5
0,22,2009,3.5,1,1,76449,4,2
4,8,2019,4.5,1,2,187412,4,1
8,7,2023,4.6,2,2,69109,3,5
1,29,2011,2.3,1,2,275808,3,3
4,4,2007,2.9,3,0,177432,4,1
1,29,2021,4.2,0,2,263328,4,2
9,21,2020,2.7,1,0,295220,2,3
7,16,2018,1.5,2,1,116026,4,2
9,17,2003,1.7,3,1,30019,4,3
0,2,2002,1.6,0,2,125878,2,3
8,7,2009,1.3,0,1,76365,5,4
5,11,2009,1.7,0,2,235964,4,5
3,13,2016,4.0,2,0,135623,2,4
2,12,2013,3.7,3,2,281563,3,4
5,11,2008,1.2,3,0,143247,2,2
6,20,2008,3.9,1,0,172054,4,4
7,5,2000,4.7,3,0,43400,5,2
7,10,2002,2.6,3,1,24516,2,3
4,4,2008,3.2,3,0,73503,5,4
2,19,2008,2.2,2,1,55505,4,2
3,15,2002,4.5,2,2,28572,5,2
5,25,2011,3.3,0,0,68886,5,2
3,15,2010,3.9,2,0,42902,3,5
2,19,2010,3.1,3,2,206820,2,3
7,16,2017,2.3,3,1,118731,2,4
9,27,2020,2.3,0,1,13991,5,5
7,5,2022,4.9,0,2,191411,5,3
7,16,2009,3.8,1,0,188809,4,5
1,0,2014,3.8,3,1,190083,3,3
7,5,2019,3.0,0,0,186644,4,2
5,25,2001,3.5,1,1,256586,2,5
3,14,2004,1.8,2,1,9861,2,2
3,14,2020,2.7,0,1,112323,4,2
2,12,2016,3.9,2,1,72828,3,1
6,24,2010,3.0,1,0,167567,4,5
6,26,2015,4.0,2,2,161451,5,5
7,16,2010,1.8,3,0,223845,2,3
5,25,2023,1.2,1,1,157234,2,3
2,12,2009,1.8,2,0,164435,4,1
5,11,2006,2.7,3,1,103173,4,4
0,3,2003,2.2,3,0,299227,3,5
6,20,2002,3.7,1,0,99914,4,5
2,18,2010,3.7,0,1,147961,3,2
4,4,2017,3.7,2,2,128266,5,3
0,3,2009,2.4,0,1,263797,2,5
5,28,2007,3.9,1,0,213643,4,5
7,16,2010,1.8,1,2,207513,2,3
4,8,2022,3.0,2,0,1140,5,5
1,0,2007,1.5,1,1,138200,3,1
2,19,2005,1.5,1,1,42171,3,4
5,28,2001,1.6,0,1,209694,5,5
7,10,2005,2.8,1,2,234312,5,3
6,24,2016,2.0,0,2,234734,4,4
2,12,2022,1.3,0,2,32421,4,1
7,5,2022,4.5,3,1,78604,5,3
6,26,2012,1.7,0,1,215694,2,5
3,13,2015,4.3,1,1,147409,3,1
2,18,2006,1.0,3,0,292875,3,3
4,4,2009,4.6,0,0,129335,3,1
8,9,2019,4.2,1,2,253093,5,4
8,7,2007,3.9,1,1,187853,5,2
0,3,2018,3.7,1,1,181383,4,3
3,14,2014,4.7,3,2,85892,5,2
0,2,2016,4.4,0,1,131640,3,1
1,29,2009,2.3,2,2,229415,4,1
7,16,2013,3.0,1,1,93855,2,5
5,25,2008,4.7,3,1,115077,3,2
2,18,2020,3.6,3,1,135042,4,4
1,29,2000,3.8,0,0,18836,4,4
3,15,2008,4.8,1,1,190302,5,1
0,22,2021,3.7,2,1,107030,3,5
6,20,2011,2.1,0,2,81075,2,2
0,2,2004,3.5,1,2,284771,4,3
6,20,2018,2.0,0,0,214831,3,1
2,19,2017,1.5,3,1,257638,3,2
1,1,2003,2.8,3,0,176448,5,5
0,3,2014,1.8,3,0,106052,3,4
1,0,2018,2.3,1,2,99243,3,3
9,21,2009,3.3,3,1,72733,2,3
9,17,2000,1.9,2,0,36648,5,3
6,20,2015,1.8,0,2,89738,2,3
7,16,2008,4.0,2,2,13396,3,5
0,2,2014,2.9,0,0,1197,2,5
2,18,2008,3.0,0,1,63631,5,5
4,8,2012,3.7,1,0,74879,2,5
0,2,2010,1.6,2,0,282744,3,2
6,20,2004,2.8,1,1,27807,3,4
5,11,2020,3.9,2,1,229197,4,3
2,12,2011,1.4,3,1,108001,2,2
1,1,2012,1.7,2,2,122057,3,2
9,27,2017,4.0,3,0,229856,2,2
9,27,2017,5.0,1,1,292452,3,4
1,29,2023,1.6,1,0,240278,3,5
8,9,2020,1.9,1,0,27280,4,3
9,27,2012,3.3,2,0,236234,2,4
8,9,2003,2.6,1,1,192971,2,1
1,29,2020,1.6,1,1,111811,4,5
8,9,2014,2.8,2,0,190214,5,2
5,25,2016,3.4,2,2,65234,5,5
8,9,2005,3.7,2,1,180656,2,2
2,18,2006,4.8,2,0,92339,2,3
4,8,2011,2.7,3,2,298055,3,3
6,24,2009,2.9,2,0,174884,4,5
5,11,2022,3.6,1,1,538,2,1
6,24,2007,3.4,1,2,256558,2,4
0,22,2013,3.2,3,2,254892,4,5
3,14,2012,2.8,3,0,205270,3,2
9,21,2017,4.5,1,2,276657,4,1
6,20,2014,1.4,1,1,36243,2,5
5,28,2022,1.6,3,2,203941,2,5
6,26,2022,2.8,2,1,281596,5,5
9,17,2022,4.1,2,2,15423,4,3
8,7,2012,1.3,2,0,54865,3,1
8,23,2004,3.1,3,2,201488,4,4
5,11,2000,2.5,1,2,232662,4,1
7,10,2011,1.1,2,2,78434,2,2
1,29,2008,3.9,2,0,282296,3,1
9,21,2008,1.0,3,2,260882,3,3
9,27,2017,4.2,0,0,59104,2,3
1,0,2008,2.0,3,1,52053,3,2
5,11,2015,1.6,3,0,202711,3,1
4,8,2003,1.3,3,2,19031,3,2
9,27,2021,2.9,1,2,275340,3,4
3,15,2012,2.4,3,1,29289,2,4
6,26,2016,2.0,3,1,131907,3,3
0,22,2006,1.3,3,2,296079,4,4
9,27,2002,1.9,0,0,8589,4,5
5,28,2014,4.5,3,2,252087,4,4
1,1,2004,2.9,2,0,270174,5,5
8,9,2003,2.1,1,2,194695,5,5
5,28,2011,4.4,0,0,132007,3,3
1,1,2018,3.9,1,1,216924,5,3
9,17,2015,2.4,1,1,89366,2,2
6,26,2006,3.6,2,2,59893,5,1
2,19,2009,3.1,2,0,254527,5,1
7,10,2013,2.7,0,2,60631,4,3
1,1,2020,3.4,3,1,29249,2,4
6,20,2006,1.0,0,1,199849,5,4
8,9,2008,3.8,3,2,226997,3,5
0,3,2010,3.0,1,0,46648,5,3
3,13,2020,4.9,0,0,113616,3,3
0,22,2004,3.4,0,2,272359,4,1
9,21,2005,1.1,0,2,135809,4,4
1,29,2012,4.3,3,1,153919,5,2
1,1,2018,3.9,1,0,157385,2,2
5,28,2010,2.4,2,1,235850,4,4
5,25,2013,1.2,3,0,222661,3,4
5,28,2009,2.1,1,0,139275,5,5
0,2,2019,1.7,2,0,188824,4,2
0,3,2009,4.5,3,0,119948,3,3
6,20,2006,3.0,0,1,110232,2,3
9,21,2000,2.2,2,1,299016,3,4
1,1,2005,4.3,2,2,80192,3,5
4,4,2002,1.5,2,0,75593,2,3
4,6,2017,3.2,2,0,93604,4,5
7,10,2023,3.2,0,0,122492,2,4
4,6,2004,4.8,0,1,252834,3,1
5,11,2005,1.3,1,1,256169,4,5
1,0,2023,2.0,2,0,174102,5,5
8,9,2011,3.3,3,1,124745,2,3
9,17,2002,3.6,3,1,256231,5,4
0,22,2023,2.2,1,2,210515,4,4
3,15,2005,1.1,3,2,171245,4,4
6,26,2009,2.1,1,2,141534,3,4
4,4,2013,4.2,2,1,26112,3,3
9,17,2002,2.9,2,2,272485,2,5
3,15,2012,4.0,3,0,112245,4,3
5,25,2004,1.9,3,1,13436,3,3
0,22,2015,3.7,2,1,72661,4,4
7,10,2009,3.6,1,1,51350,5,1
7,5,2016,2.4,2,0,289394,2,2
2,18,2023,1.7,0,2,109838,3,2
1,0,2005,3.5,3,1,201139,5,3
1,29,2005,1.5,2,1,206385,3,1
3,14,2014,4.0,0,2,77561,2,4
0,22,2012,2.5,1,2,122181,3,4
0,3,2017,4.8,3,1,36286,4,4
3,13,2002,3.2,1,2,8437,5,1
0,2,2003,2.8,2,0,239707,2,5
9,17,2007,4.6,1,2,62688,3,4
2,18,2000,3.5,2,0,286192,2,5
7,5,2002,1.2,3,1,211790,4,3
7,5,2016,2.8,2,0,72677,5,3
2,19,2013,2.7,1,0,232392,5,5
1,29,2002,1.9,3,2,17843,2,3
4,6,2020,1.1,1,0,271910,5,5
9,21,2004,1.7,1,2,209392,3,2
1,1,2023,3.3,2,2,90330,4,1
7,10,2023,3.1,2,0,183781,3,1
0,3,2004,1.6,3,2,225565,4,3
4,4,2006,2.5,1,2,150504,4,3
2,12,2022,3.6,2,2,217850,2,5
8,7,2008,2.5,0,2,223819,4,4
5,25,2004,2.4,3,1,40005,2,1
1,0,2015,4.8,0,1,169599,3,4
2,19,2021,1.3,1,2,199703,3,4
6,24,2010,1.3,2,2,202284,5,3
5,11,2018,2.4,2,0,82051,3,4
2,18,2004,3.8,1,1,8659,5,3
8,7,2004,3.5,0,2,97304,5,3
3,13,2002,4.0,0,0,119893,5,4
3,15,2011,2.3,0,0,255372,5,5
3,13,2005,3.8,1,0,189411,4,4
9,17,2022,2.3,1,0,137767,3,5
5,25,2008,1.4,1,2,192410,5,3
2,19,2011,4.1,1,0,171809,2,1
7,5,2014,3.7,0,2,32883,5,1
4,4,2004,2.0,3,2,189384,2,2
1,1,2021,2.4,1,1,70665,5,2
0,22,2008,2.7,2,0,53414,2,2
2,19,2018,4.9,1,0,192169,5,3
5,25,2014,4.2,0,0,43329,4,1
9,17,2021,2.4,3,0,115092,2,1
6,20,2018,1.2,1,1,246762,2,4
1,0,2008,2.1,3,0,266257,5,1
3,15,2010,2.5,2,2,268750,2,4
0,2,2013,3.5,3,2,97089,3,5
2,18,2017,4.9,3,2,117104,4,3
1,1,2002,4.0,0,0,36513,4,1
1,1,2013,1.8,0,1,269377,3,2
8,23,2009,4.8,1,1,113441,4,1
9,17,2019,4.6,1,1,174945,4,2
9,27,2017,4.9,2,1,241010,4,2
3,13,2012,1.7,0,2,18936,2,4
8,9,2017,1.1,3,2,15401,4,5
3,15,2003,2.0,1,0,63899,3,2
5,28,2013,3.7,0,2,250130,3,5
0,2,2007,3.6,0,0,19512,4,3
5,25,2003,3.5,0,2,97355,3,3
8,9,2017,1.6,1,2,46400,3,3
0,2,2005,4.8,3,1,133567,5,2
2,18,2007,2.0,1,2,109453,3,3
6,20,2011,1.1,0,0,220420,2,4
9,17,2011,1.8,1,1,265824,2,2
9,27,2008,2.6,1,0,271567,2,2
8,9,2022,4.9,3,1,286358,2,3
3,15,2019,3.1,0,1,64185,3,3
0,22,2004,2.5,3,0,261129,5,3
2,12,2000,2.6,1,2,166188,2,4
2,12,2018,4.1,3,1,151138,4,2
4,6,2001,4.5,2,1,164665,2,2
0,22,2021,4.2,0,1,16425,2,3
1,29,2002,3.9,1,0,207519,5,1
1,0,2023,1.2,2,1,304,2,1
2,12,2021,1.0,3,2,263836,4,3
9,21,2002,3.1,0,0,153222,5,2
9,21,2018,3.5,1,1,44918,4,3
2,18,2023,3.5,1,1,186677,2,4
1,0,2020,2.5,2,0,170703,5,4
9,27,2003,3.5,3,1,288928,3,3
2,12,2020,1.6,3,0,46525,5,1
4,6,2001,4.7,3,0,146954,2,1
9,27,2000,2.2,1,2,237559,4,5
1,29,2015,3.7,3,0,89557,4,4
9,27,2019,4.7,2,0,292565,5,5
9,17,2010,2.5,0,1,296480,2,3
1,29,2002,3.3,0,2,244368,3,5
5,11,2005,2.7,2,0,45510,2,3
6,24,2022,4.7,1,1,170105,5,3
9,17,2011,2.5,1,0,94439,2,3
9,21,2022,2.6,0,0,141331,5,1
5,25,2021,4.0,0,1,105522,5,5
4,4,2009,2.7,3,1,217224,4,5
9,21,2011,1.2,0,2,144904,5,5
1,0,2009,1.9,3,2,22913,3,2
0,22,2008,2.8,0,0,227755,5,3
3,14,2023,3.8,1,0,216961,5,4
3,15,2003,3.2,3,2,85005,3,1
6,24,2021,3.6,3,0,79401,4,3
3,15,2002,3.3,2,1,26697,3,5
0,2,2022,3.0,0,1,265987,5,5
8,23,2015,2.0,0,1,125458,2,3
4,6,2009,5.0,3,2,243936,4,5
2,19,2006,4.8,3,1,252463,4,5
4,6,2022,3.5,3,2,209432,4,5
7,16,2001,1.4,0,1,105088,2,1
4,4,2023,1.9,1,0,31933,2,3
5,11,2011,3.9,1,1,58298,4,5
2,12,2021,3.1,0,1,277817,5,3
9,27,2014,1.1,0,0,89812,3,2
4,4,2019,2.6,1,0,30363,2,1
6,26,2015,3.2,2,2,113979,5,3
2,19,2021,3.1,1,0,159076,4,4
3,15,2003,4.6,1,1,177271,3,4
7,5,2012,3.6,1,2,23912,3,3
0,2,2017,2.1,3,1,139597,4,1
3,14,2007,1.3,2,1,32956,5,4
6,24,2018,2.9,1,2,98160,2,4
7,16,2021,4.8,0,0,181278,2,4
6,26,2020,1.1,1,0,213443,5,4
6,24,2023,3.8,0,2,250150,5,4
5,11,2001,1.7,0,1,96682,3,2
5,25,2009,2.5,1,1,148855,5,2
9,17,2000,2.7,3,1,245909,4,4
1,0,2012,4.0,0,2,185073,5,1
0,2,2008,1.1,3,2,248569,5,5
1,1,2014,1.1,0,1,219921,2,2
0,3,2019,1.0,0,2,251842,5,1
1,1,2010,4.4,3,0,100916,5,1
0,22,2006,4.2,2,1,175387,5,3
4,4,2017,2.6,0,1,279367,5,1
3,14,2006,4.3,1,0,128881,3,1
4,6,2021,1.3,2,0,295825,4,5
4,8,2001,2.7,1,0,74508,4,1
8,7,2009,1.8,1,2,74482,4,1
8,23,2016,2.7,1,2,150220,4,5
3,14,2014,3.2,3,0,253316,3,5
8,23,2016,1.6,0,2,41061,5,1
9,27,2023,3.6,3,0,45801,4,4
9,27,2020,4.4,0,0,132926,4,5
6,20,2012,4.7,3,0,124920,4,4
5,11,2016,1.4,0,1,132100,2,4
9,21,2023,2.9,1,2,142524,3,3
1,1,2018,2.8,3,2,23722,5,5
1,0,2002,1.4,3,1,122799,2,1
1,1,2006,2.5,1,0,57444,2,1
5,11,2004,3.4,2,0,90326,4,3
8,9,2010,3.7,2,0,236872,2,2
7,10,2005,4.2,1,0,207548,4,2
6,20,2012,2.9,2,1,259817,3,5
3,14,2013,4.9,3,1,208159,4,1
0,2,2012,4.0,1,2,92692,3,2
0,3,2005,4.2,2,1,116904,4,3
9,17,2014,4.3,1,1,175693,3,4
